symbol,price_min,price_max,price_avg,price_variance,trade_count,total_volume,price_first,price_last,price_stddev,window_start,window_end,window_start_str,window_end_str
SOLUSDT,86.21,86.22,86.21561643835622,2.4961948249586634E-5,73,59.50799999999996,86.21,86.22,0.004996193375919974,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
ADAUSDT,0.249,0.2491,0.24901999999999996,1.9999999999995592E-9,5,128.0,0.249,0.2491,4.472135954999087E-5,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
SOLUSDT,86.22,86.23,86.22210526315791,1.7543859649140106E-5,19,3.5269999999999984,86.22,86.22,0.00418853908291902,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
ADAUSDT,0.249,0.2491,0.2490083333333334,8.3333333333309E-10,12,23337.799999999996,0.2491,0.249,2.8867513459477074E-5,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
BTCUSDT,76288.31,76302.0,76293.6677540107,12.710448025259703,374,1.1670200000000022,76288.31,76302.0,3.565171528167993,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
XRPUSDT,1.4291,1.4292,1.42912,1.7777777777721899E-9,10,315.2,1.4292,1.4291,4.216370213551213E-5,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
DOGEUSDT,0.09494,0.09494,0.09494000000000001,0.0,7,4210.0,0.09494,0.09494,0.0,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
SOLUSDT,86.2,86.26,86.2302232142855,3.017436739263469E-4,224,5664.282000000002,86.26,86.2,0.01737077067738639,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
ADAUSDT,0.2491,0.2491,0.2491,0.0,22,21723.3,0.2491,0.2491,0.0,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
BNBUSDT,632.84,632.86,632.84693877551,7.585034013603533E-5,49,1.1800000000000002,632.86,632.85,0.008709210075318849,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
ETHUSDT,2322.11,2322.14,2322.122830188678,7.068214804326374E-5,53,0.8965,2322.14,2322.11,0.008407267572955183,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
AVAXUSDT,9.39,9.39,9.39,,1,81.92,9.39,9.39,,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
ETHUSDT,2320.34,2320.46,2320.401145038172,0.0016979095713591597,131,2.1666999999999983,2320.35,2320.46,0.04120569828748397,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
BNBUSDT,632.44,632.44,632.44,0.0,2,0.32499999999999996,632.44,632.44,0.0,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
BNBUSDT,632.53,632.81,632.6714487632503,0.008120943287474796,283,12.473000000000033,632.81,632.53,0.09011627648474384,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
ETHUSDT,2320.22,2321.95,2321.1896702127656,0.283783171208573,940,19.84599999999993,2321.93,2320.22,0.5327130289457664,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
BTCUSDT,76289.3,76302.0,76295.74235074634,19.32167123256452,268,2.4258100000000042,76301.99,76289.3,4.395642300342979,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
DOGEUSDT,0.09492,0.09494,0.09493259259259267,5.352900069871035E-11,54,83368.0,0.09494,0.09493,7.316351597532089E-6,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
XRPUSDT,1.429,1.4291,1.429039393939394,2.462121212128487E-9,33,1794.7,1.4291,1.4291,4.961976634496063E-5,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
